seed,AUC
42,0.5478858310206599
42,0.7308154101140919
123,0.8259983040394696
122,0.8827551649707062
2023,0.8770457523897627
145,0.6753507554733272
100,0.8970802497687328
22,0.8804617637989516
147,0.857032454517422
95,0.7611557585568918
32,0.8179020197348135
